ID,time,per.N,d15N,per.C,d13C
bbh_01,0,0.138285023,10.40472727,0.449417869,-30.91984643
bbh_01,3,0.136722319,10.54063636,0.45693579,-31.03572923
bbh_01,6,12.91,10.55,39.30,-30.64
bbh_01,9,14.09,10.61,42.78,-30.66
bbh_02,0,0.137764742,8.816454545,0.446630921,-28.42958493
bbh_02,3,0.142680079,8.421636364,0.449842358,-28.60203514
bbh_02,6,11.17,8.86,54.35,-30.97
bbh_02,9,14.33,9.13,43.94,-28.25
bbh_03,0,0.139681099,10.27925,0.459884623,-23.85439182
bbh_03,3,0.143466275,8.133636364,0.432000269,-30.3439421
bbh_03,6,14.35,7.83,43.36,-30.35
bbh_03,9,15.81,8.51,48.98,-30.50
bbh_05,0,0.134092292,11.321125,0.423879921,-26.10764533
bbh_05,3,0.145219275,11.43563636,0.439647214,-26.1494681
bbh_05,6,15.49,11.46,46.41,-25.90
bbh_05,9,10.82,11.60,32.81,-26.43
bbh_06,0,0.136049264,8.843090909,0.440922331,-29.75153522
bbh_06,3,0.1408274,8.843636364,0.435587879,-29.37218767
bbh_06,6,15.93,9.31,52.58,-29.84
bbh_06,9,14.66,9.40,42.39,-29.16
bbh_07,0,0.146185408,11.198125,0.468829045,-31.53871532
bbh_07,3,0.139547463,11.27163636,0.426785382,-31.35876331
bbh_07,6,14.88,10.93,44.86,-31.02
bbh_07,9,14.51,11.23,43.86,-31.20
bbh_08,0,0.135912671,10.126875,0.444021234,-27.07061508
bbh_08,3,0.146238515,10.21463636,0.4415285,-26.54615944
bbh_08,6,4.80,9.75,14.84,-26.92
bbh_08,9,15.57,10.66,47.46,-27.26
bbh_09,0,0.134746502,11.63625,0.451508331,-28.23570865
bbh_09,3,0.13590647,12.03563636,0.419092762,-27.9699273
bbh_09,6,13.13,11.59,39.58,-28.09
bbh_09,9,15.17,12.30,46.14,-28.36
bbh_10,0,0.138972091,12.021875,0.458152468,-25.83117557
bbh_10,3,0.139265196,12.19263636,0.420306557,-25.82445908
bbh_10,6,14.27,12.26,43.26,-25.66
bbh_10,9,12.76,12.55,38.42,-25.76
bbh_11,0,0.137192123,13.907875,0.466093862,-32.1027191
bbh_11,3,0.149581506,14.06136364,0.564141208,-32.59902509
bbh_11,6,14.11,14.05,43.33,-31.50
bbh_11,9,18.26,14.10,56.59,-30.64
bbh_12,0,0.137093621,13.551375,0.457321408,-33.0430796
bbh_12,3,0.178132992,13.35536364,0.466780888,-32.44898113
bbh_12,6,13.90,13.73,41.18,-32.53
bbh_12,9,15.46,13.73,47.33,-32.42
bbh_13,0,0.134343994,10.98809091,0.435153658,-24.94390537
bbh_13,3,0.160133359,10.78436364,0.459749999,-25.40017539
bbh_13,6,15.51,11.02,46.82,-24.88
bbh_13,9,15.07,11.41,45.77,-25.21
bbh_14,0,0.133903801,10.7492,0.441375517,-25.19539331
bbh_14,3,0.17436424,10.56336364,0.47591977,-25.17025344
bbh_14,6,13.75,10.48,41.31,-25.18
bbh_14,9,14.86,10.98,44.66,-24.97
bbh_15,0,0.012956146,11.14636364,0.043770261,-25.99503204
bbh_15,3,0.151937657,10.56836364,0.510070798,-26.31789573
bbh_15,6,9.11,11.01,58.08,-28.02
bbh_15,9,15.41,11.04,46.95,-26.03
bbh_16,0,0.134795695,11.45509091,0.434460147,-23.69009823
bbh_16,3,0.161212448,10.66736364,0.427829035,-23.7865616
bbh_16,6,14.35,11.25,42.76,-23.45
bbh_16,9,15.42,11.41,46.59,-23.80
bbh_17,0,0.136658339,10.75036364,0.444139624,-25.58646755
bbh_17,3,0.179242804,10.78836364,0.486803245,-25.69530033
bbh_17,6,9.87,10.89,29.62,-25.60
bbh_17,9,15.03,11.25,45.39,-25.77
bbh_18,0,0.13513848,10.60309091,0.436623282,-24.41308844
bbh_18,3,0.177071093,10.52836364,0.504172297,-24.34692052
bbh_18,6,13.41,10.78,42.91,-24.63
bbh_18,9,14.79,11.10,50.70,-24.85
