ID,time,per.N,d15N,per.C,d13C
bgl_01,0,0.135502156,10.638875,0.44460613,-21.75347768
bgl_01,3,0.16287364,10.87136364,0.439268371,-21.10245522
bgl_01,6,11.80,11.06,35.43,-21.33
bgl_01,9,15.20,11.01,46.21,-21.23
bgl_02,0,0.137795038,10.85807148,0.454175818,-24.89610786
bgl_02,3,0.169305843,10.97036364,0.453639089,-23.74091749
bgl_02,6,12.48,11.04,37.89,-24.32
bgl_02,9,15.31,11.37,46.36,-24.21
bgl_03,0,0.136871273,10.69395013,0.462612408,-21.91861214
bgl_03,3,0.171319307,10.71236364,0.46784924,-20.98671397
bgl_03,6,14.48,10.86,44.06,-21.35
bgl_03,9,15.64,10.94,47.44,-21.21
bgl_04,0,0.14192383,11.362375,0.457566222,-22.01184828
bgl_04,3,0.163675973,11.52636364,0.444326274,-21.33094768
bgl_04,6,14.86,11.99,45.11,-21.81
bgl_04,9,15.68,11.90,47.27,-21.57
bgl_05,0,0.13520796,11.09725,0.469044675,-22.05233633
bgl_05,3,0.163206544,10.97436364,0.432607006,-21.26841077
bgl_05,6,15.26,11.19,46.77,-21.66
bgl_05,9,14.78,11.97,44.27,-23.82
bgl_06,0,0.130942401,10.29525,0.443065919,-21.64199463
bgl_06,3,0.166116471,10.30136364,0.448084864,-21.43118155
bgl_06,6,15.28,10.58,46.19,-21.85
bgl_06,9,15.71,10.86,47.59,-21.94
bgl_07,0,0.147721689,11.255125,0.470487465,-23.70419341
bgl_07,3,0.183506005,11.31136364,0.493344099,-22.99773899
bgl_07,6,15.07,11.40,45.13,-23.55
bgl_07,9,15.40,11.46,46.16,-23.56
bgl_08,0,0.124104115,11.142125,0.403625263,-22.95008752
bgl_08,3,0.166359204,10.94136364,0.432142428,-22.1634036
bgl_08,6,13.75,11.17,41.32,-22.91
bgl_08,9,15.36,11.42,46.44,-22.69
bgl_09,0,0.140634439,11.27825,0.46267814,-25.27339842
bgl_09,3,0.179063187,11.22536364,0.490894525,-24.5698405
bgl_09,6,14.79,11.53,44.85,-24.98
bgl_09,9,15.57,11.63,46.85,-24.94
bgl_10,0,0.141333068,11.404875,0.46305753,-23.97195527
bgl_10,3,0.162475378,11.25636364,0.42140336,-23.38926671
bgl_10,6,13.63,11.45,40.99,-23.51
bgl_10,9,15.28,11.84,50.20,-24.10
bgl_11,0,0.133085344,10.95825,0.460071428,-21.37784267
bgl_11,3,0.166052858,10.47436364,0.443453883,-20.83390141
bgl_11,6,15.11,11.01,45.40,-21.36
bgl_11,9,15.86,11.33,47.72,-21.19
bgl_12,0,0.140952523,11.154875,0.460269425,-23.36685896
bgl_12,3,0.184496072,11.15636364,0.495833887,-22.54552077
bgl_12,6,14.29,11.17,42.44,-22.82
bgl_12,9,15.86,11.46,47.45,-23.40
bgl_13,0,0.133174902,13.19925,0.43904613,-30.96601823
bgl_13,3,0.170558644,12.94336364,0.451739274,-29.71706719
bgl_13,6,14.77,13.30,44.53,-30.43
bgl_13,9,14.63,13.64,44.03,-30.18
bgl_14,0,0.139029354,12.939875,0.449719748,-30.37528155
bgl_14,3,0.172357212,12.73236364,0.447792994,-29.62838519
bgl_14,6,12.63,12.85,37.98,-29.99
bgl_14,9,15.75,12.84,46.96,-30.26
bgl_15,0,0.134289714,12.78625,0.461585758,-30.92026135
bgl_15,3,0.167557873,12.58936364,0.453023135,-29.75674627
bgl_15,6,15.22,12.99,46.50,-30.32
bgl_15,9,13.85,13.18,41.38,-30.23
bgl_16,0,0.141452814,12.934875,0.461656805,-30.23636212
bgl_16,3,0.182290913,12.95636364,0.481627269,-29.70455731
bgl_16,6,15.45,13.30,46.84,-30.39
bgl_16,9,15.69,13.17,47.26,-30.35
bgl_17,0,0.13625294,12.755375,0.448335023,-29.629334
bgl_17,3,0.170759809,12.71536364,0.447337239,-28.50529879
bgl_17,6,13.82,12.80,41.61,-29.02
bgl_17,9,12.06,13.24,35.91,-28.69
bgl_18,0,0.138030922,12.80325,0.462243644,-29.95564824
bgl_18,3,0.169254642,12.49036364,0.450947426,-28.83584866
bgl_18,6,14.03,12.70,41.81,-29.25
bgl_18,9,15.62,13.16,47.05,-29.11
