ID,time,per.N,d15N,per.C,d13C
lmb_01,0,0.135558237,14.46509091,0.437769874,-27.53588284
lmb_01,3,0.14509835,14.56254545,0.449288169,-26.02050637
lmb_01,6,12.97,15.02,38.80,-25.93
lmb_01,9,15.65,14.90,50.50,-27.41
lmb_02,0,0.137709772,14.46825,0.471587709,-30.54825212
lmb_02,3,0.139331694,14.48554545,0.454583223,-30.55142552
lmb_02,6,14.71,14.67,45.28,-29.86
lmb_02,9,15.71,14.85,50.20,-30.58
lmb_03,0,0.140326312,14.598875,0.463708218,-29.44436147
lmb_03,3,0.14387257,14.79754545,0.45437657,-29.33103319
lmb_03,6,14.70,14.92,45.21,-28.90
lmb_03,9,15.82,15.08,50.14,-29.73
lmb_04,0,0.138852643,14.729875,0.475306227,-30.28018087
lmb_04,3,0.138910666,15.07254545,0.448947894,-30.41662815
lmb_04,6,14.75,15.23,45.48,-29.86
lmb_04,9,13.57,15.12,43.69,-30.27
lmb_05,0,0.138159759,14.552875,0.458408702,-30.34107396
lmb_05,3,0.14188695,14.63254545,0.443785818,-30.15203328
lmb_05,6,15.35,14.82,46.88,-29.78
lmb_05,9,15.94,14.87,49.54,-30.37
lmb_06,0,0.150785756,14.357125,0.486426994,-30.16180839
lmb_06,3,0.134037649,14.82254545,0.430462564,-30.37181338
lmb_06,6,15.17,14.68,46.41,-29.87
lmb_06,9,15.29,14.85,48.09,-30.27
lmb_07,0,0.138235289,14.679375,0.456250544,-31.08683733
lmb_07,3,0.141371517,15.14454545,0.452481683,-31.4038233
lmb_07,6,14.58,14.90,44.93,-30.97
lmb_07,9,14.27,14.86,44.65,-31.14
lmb_08,0,0.132571333,14.68725,0.461137236,-30.47380317
lmb_08,3,0.146463528,14.61454545,0.459760607,-30.20912393
lmb_08,6,14.87,15.01,45.73,-29.83
lmb_08,9,14.87,15.06,47.09,-30.04
lmb_09,0,0.137609593,14.495375,0.460194726,-30.90816293
lmb_09,3,0.139068974,14.58254545,0.454693948,-31.46712667
lmb_09,6,14.34,14.82,43.99,-30.68
lmb_09,9,15.48,14.85,48.37,-31.12
lmb_10,0,0.127048161,14.604375,0.423747475,-32.14495166
lmb_10,3,0.145986179,14.82054545,0.455783671,-32.17407129
lmb_10,6,15.14,15.03,46.54,-31.64
lmb_10,9,15.46,14.88,48.47,-31.99
lmb_11,0,0.136434281,16.78436364,0.459559749,-27.41101557
lmb_11,3,0.143260565,17.54454545,0.45052581,-27.51234538
lmb_11,6,14.28,17.32,43.87,-27.10
lmb_11,9,14.76,17.23,45.23,-27.53
lmb_12,0,0.138586023,14.911875,0.456828761,-25.64718262
lmb_12,3,0.142868197,14.92354545,0.443169151,-25.46279355
lmb_12,6,15.49,15.11,46.59,-25.13
lmb_12,9,15.30,15.21,46.52,-25.66
lmb_13,0,0.136099386,16.173875,0.466616826,-26.65009939
lmb_13,3,0.146609302,16.53054545,0.457594456,-26.06016149
lmb_13,6,13.18,16.39,39.81,-25.80
lmb_13,9,14.52,16.45,44.17,-26.31
lmb_14,0,0.138599749,16.95546471,0.453401492,-24.97171957
lmb_14,3,0.145598329,17.34754545,0.455007311,-24.97123596
lmb_14,6,15.02,17.12,45.32,-24.60
lmb_14,9,15.47,17.15,47.27,-25.00
lmb_15,0,0.132985548,12.02336364,0.434201183,-28.53641624
lmb_15,3,0.146183248,12.54254545,0.460404839,-28.3970811
lmb_15,6,13.69,12.44,42.19,-27.95
lmb_15,9,16.06,12.85,49.46,-28.27
lmb_16,0,0.141290071,12.394875,0.466886504,-25.2108016
lmb_16,3,0.150479696,12.23354545,0.461588282,-24.81188723
lmb_16,6,14.47,12.67,45.78,-24.92
lmb_16,9,13.35,12.57,41.88,-25.28
lmb_17,0,0.139159533,12.99425,0.479088625,-24.4502922
lmb_17,3,0.139696993,13.49554545,0.451319626,-23.74972216
lmb_17,6,12.90,13.09,39.31,-23.52
lmb_17,9,15.87,13.67,49.90,-23.98
lmb_18,0,0.14070504,12.636375,0.465165738,-24.11468442
lmb_18,3,0.13757217,13.15063636,0.428772056,-23.36124606
lmb_18,6,14.60,12.89,45.89,-23.55
lmb_18,9,15.84,12.94,50.08,-23.54
