ID,time,per.N,d15N,per.C,d13C
nerka_01,0,0.134678354,12.6211,0.544063992,-30.79106347
nerka_01,3,0.175045936,13.08172727,0.484617819,-29.8611661
nerka_01,6,13.45,13.52,43.72,-29.89
nerka_01,9,13.57,13.07,41.81,-29.55
nerka_02,0,0.12156885,15.0951,0.622115989,-31.67653505
nerka_02,3,0.162766668,15.23472727,0.474388524,-29.89227935
nerka_02,6,15.05,15.53,48.24,-29.54
nerka_02,9,14.80,15.52,46.71,-29.02
nerka_03,0,0.150988258,11.4941,0.55158369,-22.20869704
nerka_03,3,0.155840413,11.50272727,0.440605539,-21.60149553
nerka_03,6,15.91,11.81,49.41,-21.39
nerka_03,9,14.87,11.84,45.65,-21.24
nerka_04,0,0.119533933,10.9731,0.620538068,-23.85610051
nerka_04,3,0.159342071,11.37872727,0.495558191,-22.09338117
nerka_04,6,14.63,11.40,45.93,-21.40
nerka_04,9,15.18,11.11,46.99,-21.25
nerka_05,0,0.152933414,14.3121,0.568178038,-28.92093592
nerka_05,3,0.178909613,14.63772727,0.491640155,-28.13723559
nerka_05,6,15.61,14.73,48.07,-28.15
nerka_05,9,15.15,15.11,46.40,-27.98
nerka_06,0,0.10703916,12.3521,0.388430622,-22.0120589
nerka_06,3,0.167575229,13.08772727,0.484909839,-20.99185855
nerka_06,6,14.72,13.19,45.02,-20.72
nerka_06,9,15.71,12.68,47.77,-20.70
nerka_07,0,0.155928517,11.8491,0.556209964,-22.5044402
nerka_07,3,0.171482522,11.46172727,0.47341478,-21.54885135
nerka_07,6,15.22,11.46,47.25,-21.55
nerka_07,9,14.38,12.00,43.73,-21.87
nerka_08,0,0.150175242,11.6941,0.538719792,-22.54312922
nerka_08,3,0.149077691,11.96072727,0.433819793,-21.74716348
nerka_08,6,14.63,12.48,45.27,-21.64
nerka_08,9,15.32,12.55,47.63,-21.80
nerka_09,0,0.147213514,11.3591,0.521100474,-22.0490228
nerka_09,3,0.161799907,11.69972727,0.453141745,-20.95039315
nerka_09,6,15.80,12.01,48.32,-21.01
nerka_09,9,15.71,11.85,47.91,-21.00
nerka_10,0,0.130263342,12.3491,0.489093158,-22.33827919
nerka_10,3,0.131124725,11.49272727,0.376484536,-20.58678746
nerka_10,6,15.63,11.99,48.07,-21.19
nerka_10,9,15.58,11.86,47.60,-21.42
nerka_11,0,0.148501719,11.3821,0.551576089,-22.3812168
nerka_11,3,0.138284938,11.52572727,0.410728231,-21.16914815
nerka_11,6,15.18,11.91,47.06,-21.11
nerka_11,9,15.39,11.70,47.14,-21.17
nerka_12,0,0.13387107,11.8571,0.475163076,-22.38378037
nerka_12,3,0.173359129,12.14172727,0.487339451,-21.26618192
nerka_12,6,15.69,12.06,47.93,-21.31
nerka_12,9,15.52,12.14,47.43,-21.37
nerka_13,0,0.124503196,12.4391,0.50003736,-22.70335296
nerka_13,3,0.165130599,11.80472727,0.479290232,-21.31311935
nerka_13,6,15.74,12.37,48.94,-21.29
nerka_13,9,14.82,11.92,45.63,-21.35
nerka_14,0,0.138804212,11.5651,0.519548048,-22.03967289
nerka_14,3,0.17276425,12.03372727,0.48900302,-20.67202803
nerka_14,6,15.56,12.16,48.31,-20.62
nerka_14,9,15.37,11.90,47.67,-20.99
nerka_15,0,0.14416128,15.3531,0.557166862,-30.20042546
nerka_15,3,0.127732993,16.71972727,0.406493415,-29.64109296
nerka_15,6,14.54,16.74,47.72,-29.75
nerka_15,9,15.24,15.79,48.34,-29.32
nerka_16,0,0.156417599,11.8221,0.549711509,-22.10072636
nerka_16,3,0.153777228,11.72172727,0.453103214,-21.62971296
nerka_16,6,8.82,11.88,27.81,-21.29
nerka_16,9,13.79,11.65,42.08,-21.21
nerka_17,0,0.144002597,11.8231,0.579517875,-22.27755487
nerka_17,3,0.156273824,12.44572727,0.485084945,-21.6316943
nerka_17,6,15.58,12.19,48.34,-20.81
nerka_17,9,15.15,12.15,46.10,-20.86
nerka_18,0,0.153759359,11.2401,0.528935291,-21.44300158
nerka_18,3,0.158628721,12.32272727,0.470341785,-21.36363403
nerka_18,6,15.12,11.79,46.62,-20.71
nerka_18,9,15.32,11.79,46.90,-20.92
