ID,time,per.N,d15N,per.C,d13C
pks_01,0,0.141559325,11.32172727,0.455335871,-24.16253469
pks_01,3,0.150457852,11.85563636,0.458401986,-23.83147075
pks_01,6,14.77,11.62,45.26,-24.15
pks_01,9,15.58,11.81,47.31,-24.03
pks_02,0,0.12816843,11.21172727,0.419235778,-23.23543553
pks_02,3,0.152796077,11.73763636,0.462760062,-22.85591874
pks_02,6,15.53,11.24,45.17,-23.14
pks_02,9,14.14,11.71,42.75,-23.03
pks_03,0,0.136471078,10.91372727,0.455436202,-22.50966964
pks_03,3,0.145428037,11.01863636,0.445034394,-22.21544144
pks_03,6,11.97,10.99,36.20,-22.30
pks_03,9,15.42,11.61,46.54,-22.33
pks_04,0,0.140234693,11.19009091,0.452493121,-24.91646334
pks_04,3,0.143620343,11.46563636,0.43042036,-24.60645241
pks_04,6,12.50,10.55,36.67,-24.45
pks_04,9,15.49,11.40,46.57,-24.55
pks_05,0,0.127877232,11.17372727,0.446357193,-22.6475179
pks_05,3,0.145941383,11.52663636,0.441727102,-22.10358051
pks_05,6,14.83,11.36,44.72,-22.09
pks_05,9,15.77,11.79,47.47,-22.15
pks_06,0,0.136471963,10.83136364,0.451038705,-24.79554613
pks_06,3,0.145290394,11.50663636,0.448855073,-24.73247647
pks_06,6,14.69,11.20,44.45,-24.56
pks_06,9,15.99,11.46,47.79,-24.65
pks_07,0,0.134116065,11.42745455,0.455123072,-24.03908727
pks_07,3,0.144194765,11.86563636,0.439084007,-24.73797293
pks_07,6,11.10,11.91,33.09,-24.85
pks_07,9,15.80,12.01,47.58,-24.93
pks_08,0,0.136645738,11.18736364,0.439485114,-22.87739117
pks_08,3,0.144002203,11.80663636,0.443768882,-25.75816945
pks_08,6,15.13,11.84,45.24,-25.83
pks_08,9,15.65,12.05,47.15,-25.79
pks_09,0,0.137308469,11.47009091,0.438958473,-21.49314241
pks_09,3,0.140572302,11.54463636,0.425986831,-23.6321393
pks_09,6,15.14,12.00,45.60,-23.46
pks_09,9,15.43,11.99,46.42,-23.65
pks_10,0,0.139487113,11.60372727,0.455227594,-23.69866892
pks_10,3,0.149319832,11.42063636,0.448655827,-21.48109444
pks_10,6,11.82,11.96,35.94,-21.25
pks_10,9,12.50,11.92,37.90,-21.23
pks_11,0,0.130716086,11.4762,0.430636923,-25.89128099
pks_11,3,0.143156633,11.77363636,0.430579028,-22.76672325
pks_11,6,14.60,11.82,44.28,-22.82
pks_11,9,15.96,11.90,47.99,-22.97
pks_12,0,0.136363624,11.63636364,0.439918706,-24.91871675
pks_12,3,0.150741651,11.84963636,0.450505373,-23.69849018
pks_12,6,14.92,11.41,44.58,-23.67
pks_12,9,14.68,12.17,44.08,-23.85
pks_13,0,0.137346716,9.7992,0.441294423,-27.66734395
pks_13,3,0.141867951,9.848636364,0.431000718,-27.28079987
pks_13,6,14.64,10.16,44.35,-27.29
pks_13,9,15.82,10.14,47.60,-27.28
pks_14,0,0.143235722,10.2792,0.441652335,-28.73190254
pks_14,3,0.145657972,10.48263636,0.444018398,-28.33099577
pks_14,6,15.00,10.48,45.85,-28.51
pks_14,9,15.67,10.53,46.72,-28.45
pks_15,0,0.142301917,8.8222,0.445443601,-28.8612935
pks_15,3,0.148715722,9.101636364,0.440721737,-28.54752457
pks_15,6,0.01,9.07,0.04,-28.62
pks_15,9,15.73,9.11,47.27,-28.69
pks_16,0,0.136840713,9.0822,0.44588953,-29.13237092
pks_16,3,0.144544287,9.223636364,0.436597413,-28.70377777
pks_16,6,12.61,11.11,46.51,-21.32
pks_16,9,15.01,9.64,45.99,-28.92
pks_17,0,0.137977245,9.8192,0.443377813,-27.48489457
pks_17,3,0.143056048,9.781636364,0.430192345,-27.16082704
pks_17,6,14.31,9.88,43.58,-28.44
pks_17,9,15.47,10.43,47.32,-27.45
pks_18,0,0.144013078,9.2382,0.441233813,-29.0437262
pks_18,3,0.141525286,9.082636364,0.42489812,-28.78017775
pks_18,6,15.03,10.11,45.76,-27.18
pks_18,9,16.05,9.58,49.11,-28.97
