ID,time,per.N,d15N,per.C,d13C
rbt_01,0,0.125772659,14.06025,0.48353952,-38.47127026
rbt_01,3,0.1300818,14.06736364,0.500847557,-37.93732207
rbt_01,6,11.30,14.09,52.48,-39.98
rbt_01,9,14.92,14.25,49.82,-37.13
rbt_02,0,0.112130211,16.58309091,0.503932966,-36.66138811
rbt_02,3,0.1596107,15.33936364,0.530091582,-35.01078093
rbt_02,6,12.43,15.41,43.12,-35.11
rbt_02,9,11.44,15.56,54.44,-37.23
rbt_05,0,0.135344441,9.8662,0.460188989,-20.40113591
rbt_05,3,0.1395871,9.791818182,0.411873453,-22.64804337
rbt_05,6,10.32,10.40,32.97,-20.72
rbt_05,9,15.25,10.59,46.89,-21.11
rbt_06,0,0.14132149,10.0422,0.461930641,-20.55550979
rbt_06,3,0.1370469,9.452818182,0.422464542,-21.4813056
rbt_06,6,13.10,10.15,50.24,-21.21
rbt_06,9,13.26,10.66,52.48,-21.23
rbt_07,0,0.138038147,12.0382,0.444301109,-30.35040415
rbt_07,3,0.1564733,11.10581818,0.400379838,-29.66160554
rbt_07,6,11.97,12.42,35.36,-30.33
rbt_07,9,15.87,12.44,47.08,-30.01
rbt_08,0,0.127478313,9.9272,0.463444557,-20.56743412
rbt_08,3,0.1474633,9.743818182,0.370904403,-25.51491629
rbt_08,6,14.41,10.91,45.70,-25.65
rbt_08,9,15.26,11.06,46.75,-25.48
rbt_09,0,0.136734862,9.9522,0.463219131,-20.11403751
rbt_09,3,0.1551670,9.292818182,0.437075839,-20.50718628
rbt_09,6,11.26,10.27,46.53,-21.29
rbt_09,9,14.90,10.38,47.33,-19.59
rbt_10,0,0.143285897,10.4082,0.460308404,-23.01532856
rbt_10,3,0.1597259,9.507818182,0.406010732,-22.30557132
rbt_10,6,10.06,10.80,31.34,-22.56
rbt_10,9,15.19,10.78,48.89,-22.67
rbt_11,0,0.122145844,9.9252,0.475148856,-20.29985555
rbt_11,3,0.1351902,9.249818182,0.444455575,-20.15625649
rbt_11,6,13.57,10.19,47.92,-19.81
rbt_11,9,13.66,10.25,52.11,-20.04
rbt_12,0,0.129239491,11.60725,0.438885622,-31.73983321
rbt_12,3,0.1333138,10.75781818,0.421169033,-32.44985979
rbt_12,6,14.59,11.92,44.63,-31.04
rbt_12,9,14.45,12.23,49.99,-32.47
rbt_13,0,0.109210987,14.56916583,0.512115333,-42.17354752
rbt_13,3,0.1186537,13.24381818,0.465708334,-38.74115586
rbt_13,6,12.20,14.60,52.75,-39.27
rbt_13,9,13.25,14.93,49.96,-38.55
rbt_14,0,0.121356796,14.69525,0.500641251,-38.95233298
rbt_14,3,0.1095516,14.02881818,0.470256173,-39.3401924
rbt_14,6,13.71,15.06,52.13,-38.67
rbt_14,9,12.54,15.13,52.51,-39.74
rbt_15,0,0.114214834,8.585875,0.521513274,-22.34016556
rbt_15,3,0.1324935,8.035818182,0.439341409,-23.28278673
rbt_15,6,10.77,8.58,49.43,-21.82
rbt_15,9,11.70,9.06,55.08,-21.97
rbt_16,0,0.111793466,8.15025,0.49531683,-21.97091404
rbt_16,3,0.1159242,7.432818182,0.461822511,-23.08580351
rbt_16,6,11.83,8.58,37.31,-21.52
rbt_16,9,12.58,8.86,49.60,-21.38
rbt_17,0,0.121441135,8.050875,0.503486137,-22.02925912
rbt_17,3,0.1329432,7.325818182,0.486443196,-23.21960439
rbt_17,6,12.97,8.29,50.50,-21.74
rbt_17,9,14.60,8.35,48.29,-21.15
rbt_18,0,0.132191094,13.65809091,0.466185978,-30.81964211
rbt_18,3,0.1263584,12.56781818,0.46777947,-31.08911237
rbt_18,6,13.49,13.91,50.58,-31.29
rbt_18,9,15.77,13.43,50.05,-29.22
