ID,time,per.N,d15N,per.C,d13C
YP_01,0,0.136850614,9.9072,0.449984436,-28.1576862
YP_01,3,0.172140804,10.08972727,0.479281644,-28.10016321
YP_01,6,15.00,10.44,46.07,-28.32
YP_01,9,15.61,10.47,47.81,-28.19
YP_02,0,0.134729412,9.978090909,0.444782298,-28.03031364
YP_02,3,0.171864555,10.57172727,0.474507381,-27.83086119
YP_02,6,11.95,10.22,36.70,-27.98
YP_02,9,15.43,10.06,47.06,-27.75
YP_04,0,0.135895083,9.821363636,0.43985637,-27.44934202
YP_04,3,0.172708445,10.23972727,0.476390551,-27.67660641
YP_04,6,15.25,10.63,47.03,-27.38
YP_04,9,15.71,10.25,47.76,-27.43
YP_05,0,0.136268169,11.07036364,0.452496983,-29.71209489
YP_05,3,0.169177433,11.47372727,0.463004813,-29.77535359
YP_05,6,14.12,11.22,43.21,-29.57
YP_05,9,10.58,11.34,32.13,-29.53
YP_06,0,0.140453301,9.708727273,0.450719323,-28.16949631
YP_06,3,0.167855655,10.34172727,0.459778161,-28.22752206
YP_06,6,15.17,10.18,46.89,-28.08
YP_06,9,15.28,10.33,46.63,-28.37
YP_07,0,0.135121762,9.2532,0.446660315,-27.80696073
YP_07,3,0.157296379,9.739727273,0.43342371,-27.82502097
YP_07,6,12.75,9.65,38.28,-27.65
YP_07,9,15.61,9.96,47.34,-27.69
YP_08,0,0.139669756,9.950090909,0.44591263,-29.90041817
YP_08,3,0.16354724,10.33572727,0.449073674,-30.05208696
YP_08,6,13.82,10.44,41.57,-29.83
YP_08,9,15.44,10.36,47.17,-29.55
YP_09,0,0.140166234,11.477875,0.474640912,-22.84764876
YP_09,3,0.142637366,11.47154545,0.44828748,-22.54147435
YP_09,6,8.17,11.59,24.54,-22.52
YP_09,9,15.40,11.71,46.81,-22.79
YP_10,0,0.14214152,10.850875,0.455940608,-24.07437473
YP_10,3,0.139349802,11.08954545,0.434099949,-23.58242491
YP_10,6,15.00,11.11,45.33,-23.74
YP_10,9,15.25,11.09,46.16,-23.90
YP_11,0,0.129794156,10.75525,0.421735376,-26.10165196
YP_11,3,0.143497731,11.41754545,0.452151796,-25.74679118
YP_11,6,15.04,11.34,45.05,-25.79
YP_11,9,12.48,11.67,37.35,-25.71
YP_12,0,0.140304042,11.203375,0.460032595,-25.96613178
YP_12,3,0.138350986,11.54654545,0.438307793,-25.06205984
YP_12,6,15.32,11.80,46.51,-25.40
YP_12,9,14.78,10.87,44.16,-25.11
YP_13,0,0.141562033,11.105875,0.459093361,-25.29716218
YP_13,3,0.149051094,11.24054545,0.462745065,-25.31879339
YP_13,6,15.42,11.41,46.42,-25.37
YP_13,9,15.78,11.55,47.75,-25.24
YP_14,0,0.132943724,11.36325,0.439592039,-25.13697194
YP_14,3,0.147298689,11.80154545,0.459176307,-24.88573547
YP_14,6,13.40,11.57,40.65,-25.41
YP_14,9,15.77,11.68,47.91,-24.91
YP_15,0,0.140964352,10.83441754,0.463409333,-23.94939136
YP_15,3,0.138138643,11.09054545,0.437114389,-23.48096403
YP_15,6,14.96,10.95,45.73,-23.70
YP_15,9,10.72,11.26,32.32,-23.54
YP_16,0,0.138929015,11.99725,0.456462897,-26.70045442
YP_16,3,0.142369154,12.21754545,0.447593787,-26.77042554
YP_16,6,15.36,12.61,46.80,-26.62
YP_16,9,15.08,12.14,45.81,-26.54
YP_17,0,0.137708374,11.50425,0.469019417,-25.54241634
YP_17,3,0.145292722,11.32854545,0.456296311,-25.5516124
YP_17,6,15.45,11.72,46.95,-25.53
YP_17,9,11.82,11.41,35.72,-24.84
YP_19,0,0.142045404,11.178875,0.472153351,-24.39939767
YP_19,3,0.139072944,11.44854545,0.4383585,-24.05454773
YP_19,6,15.13,11.44,45.87,-24.44
YP_19,9,15.75,11.70,47.67,-24.36
YP_20,0,0.14234291,10.756125,0.454887151,-22.81279972
YP_20,3,0.141198726,11.58754545,0.450031965,-22.78503188
YP_20,6,14.47,11.46,44.07,-22.68
YP_20,9,14.74,11.27,44.66,-22.62
