"","ID","per.N.time.0","per.N.time.3","per.N.time.6","per.N.time.9","d15N.time.0","d15N.time.3","d15N.time.6","d15N.time.9","per.C.time.0","per.C.time.3","per.C.time.6","per.C.time.9","d13C.time.0","d13C.time.3","d13C.time.6","d13C.time.9","d13C.3m.corr","d13C.6m.corr","d13C.9m.corr","d15N.3m.corr","d15N.6m.corr","d15N.9m.corr","perC.3m.corr","perC.6m.corr","perC.9m.corr","perN.3m.corr","perN.6m.corr","perN.9m.corr"
"1","bbh_01",0.138285023,0.136722319,12.91,14.09,10.40472727,10.54063636,10.55,10.61,0.449417869,0.45693579,39.3,42.78,-30.91984643,-31.03572923,-30.64,-30.66,-0.115882800000001,0.279846429999999,0.25984643,0.13590909,0.14527273,0.205272729999999,0.00751792099999998,38.850582131,42.330582131,-0.001562704,12.771714977,13.951714977
"2","bbh_02",0.137764742,0.142680079,11.17,14.33,8.816454545,8.421636364,8.86,9.13,0.446630921,0.449842358,54.35,43.94,-28.42958493,-28.60203514,-30.97,-28.25,-0.172450210000001,-2.54041507,0.179584930000001,-0.394818181,0.0435454550000003,0.313545455000002,0.00321143699999998,53.903369079,43.493369079,0.00491533699999999,11.032235258,14.192235258
"3","bbh_03",0.139681099,0.143466275,14.35,15.81,10.27925,8.133636364,7.83,8.51,0.459884623,0.432000269,43.36,48.98,-23.85439182,-30.3439421,-30.35,-30.5,-6.48955028,-6.49560818,-6.64560818,-2.145613636,-2.44925,-1.76925,-0.027884354,42.900115377,48.520115377,0.003785176,14.210318901,15.670318901
"4","bbh_05",0.134092292,0.145219275,15.49,10.82,11.321125,11.43563636,11.46,11.6,0.423879921,0.439647214,46.41,32.81,-26.10764533,-26.1494681,-25.9,-26.43,-0.0418227699999996,0.207645330000002,-0.322354669999999,0.11451136,0.138875000000001,0.278874999999999,0.015767293,45.986120079,32.386120079,0.011126983,15.355907708,10.685907708
"5","bbh_06",0.136049264,0.1408274,15.93,14.66,8.843090909,8.843636364,9.31,9.4,0.440922331,0.435587879,52.58,42.39,-29.75153522,-29.37218767,-29.84,-29.16,0.379347550000002,-0.0884647799999989,0.591535220000001,0.000545454999999251,0.466909091,0.556909091,-0.00533445199999999,52.139077669,41.949077669,0.00477813599999999,15.793950736,14.523950736
"6","bbh_07",0.146185408,0.139547463,14.88,14.51,11.198125,11.27163636,10.93,11.23,0.468829045,0.426785382,44.86,43.86,-31.53871532,-31.35876331,-31.02,-31.2,0.179952010000001,0.518715320000002,0.338715320000002,0.0735113600000012,-0.268125,0.0318750000000012,-0.042043663,44.391170955,43.391170955,-0.00663794499999998,14.733814592,14.363814592
"7","bbh_08",0.135912671,0.146238515,4.8,15.57,10.126875,10.21463636,9.75,10.66,0.444021234,0.4415285,14.84,47.46,-27.07061508,-26.54615944,-26.92,-27.26,0.524455639999999,0.150615079999998,-0.189384920000002,0.08776136,-0.376875,0.533125,-0.002492734,14.395978766,47.015978766,0.010325844,4.664087329,15.434087329
"8","bbh_09",0.134746502,0.13590647,13.13,15.17,11.63625,12.03563636,11.59,12.3,0.451508331,0.419092762,39.58,46.14,-28.23570865,-27.9699273,-28.09,-28.36,0.265781350000001,0.14570865,-0.12429135,0.399386359999999,-0.0462500000000006,0.66375,-0.032415569,39.128491669,45.688491669,0.00115996800000001,12.995253498,15.035253498
"9","bbh_10",0.138972091,0.139265196,14.27,12.76,12.021875,12.19263636,12.26,12.55,0.458152468,0.420306557,43.26,38.42,-25.83117557,-25.82445908,-25.66,-25.76,0.00671648999999874,0.171175569999999,0.0711755699999976,0.17076136,0.238125,0.528125000000001,-0.037845911,42.801847532,37.961847532,0.000293105000000016,14.131027909,12.621027909
"10","bbh_11",0.137192123,0.149581506,14.11,18.26,13.907875,14.06136364,14.05,14.1,0.466093862,0.564141208,43.33,56.59,-32.1027191,-32.59902509,-31.5,-30.64,-0.496305989999996,0.602719100000002,1.4627191,0.153488639999999,0.142125,0.192124999999999,0.098047346,42.863906138,56.123906138,0.012389383,13.972807877,18.122807877
