"","ID","per.N.time.0","per.N.time.3","per.N.time.6","per.N.time.9","d15N.time.0","d15N.time.3","d15N.time.6","d15N.time.9","per.C.time.0","per.C.time.3","per.C.time.6","per.C.time.9","d13C.time.0","d13C.time.3","d13C.time.6","d13C.time.9","d13C.3m.corr","d13C.6m.corr","d13C.9m.corr","d15N.3m.corr","d15N.6m.corr","d15N.9m.corr","perC.3m.corr","perC.6m.corr","perC.9m.corr","perN.3m.corr","perN.6m.corr","perN.9m.corr"
"1","bgl_01",0.135502156,0.16287364,11.8,15.2,10.638875,10.87136364,11.06,11.01,0.44460613,0.439268371,35.43,46.21,-21.75347768,-21.10245522,-21.33,-21.23,0.65102246,0.423477680000001,0.523477679999999,0.23248864,0.421125,0.371124999999999,-0.005337759,34.98539387,45.76539387,0.027371484,11.664497844,15.064497844
"2","bgl_02",0.137795038,0.169305843,12.48,15.31,10.85807148,10.97036364,11.04,11.37,0.454175818,0.453639089,37.89,46.36,-24.89610786,-23.74091749,-24.32,-24.21,1.15519037,0.57610786,0.68610786,0.112292160000001,0.18192852,0.51192852,-0.000536729000000014,37.435824182,45.905824182,0.031510805,12.342204962,15.172204962
"3","bgl_03",0.136871273,0.171319307,14.48,15.64,10.69395013,10.71236364,10.86,10.94,0.462612408,0.46784924,44.06,47.44,-21.91861214,-20.98671397,-21.35,-21.21,0.93189817,0.568612139999999,0.70861214,0.0184135100000002,0.16604987,0.24604987,0.00523683200000002,43.597387592,46.977387592,0.034448034,14.343128727,15.503128727
"4","bgl_04",0.14192383,0.163675973,14.86,15.68,11.362375,11.52636364,11.99,11.9,0.457566222,0.444326274,45.11,47.27,-22.01184828,-21.33094768,-21.81,-21.57,0.680900599999998,0.20184828,0.441848279999999,0.163988639999999,0.627625,0.537625,-0.013239948,44.652433778,46.812433778,0.021752143,14.71807617,15.53807617
"5","bgl_05",0.13520796,0.163206544,15.26,14.78,11.09725,10.97436364,11.19,11.97,0.469044675,0.432607006,46.77,44.27,-22.05233633,-21.26841077,-21.66,-23.82,0.78392556,0.392336329999999,-1.76766367,-0.122886360000001,0.0927499999999988,0.87275,-0.036437669,46.300955325,43.800955325,0.027998584,15.12479204,14.64479204
"6","bgl_06",0.130942401,0.166116471,15.28,15.71,10.29525,10.30136364,10.58,10.86,0.443065919,0.448084864,46.19,47.59,-21.64199463,-21.43118155,-21.85,-21.94,0.210813079999998,-0.208005370000002,-0.298005370000002,0.00611364000000059,0.284750000000001,0.56475,0.00501894500000005,45.746934081,47.146934081,0.03517407,15.149057599,15.579057599
"7","bgl_07",0.147721689,0.183506005,15.07,15.4,11.255125,11.31136364,11.4,11.46,0.470487465,0.493344099,45.13,46.16,-23.70419341,-22.99773899,-23.55,-23.56,0.70645442,0.154193409999998,0.14419341,0.0562386400000001,0.144875000000001,0.204875000000001,0.022856634,44.659512535,45.689512535,0.035784316,14.922278311,15.252278311
"8","bgl_08",0.124104115,0.166359204,13.75,15.36,11.142125,10.94136364,11.17,11.42,0.403625263,0.432142428,41.32,46.44,-22.95008752,-22.1634036,-22.91,-22.69,0.786683920000002,0.0400875200000002,0.260087519999999,-0.20076136,0.0278749999999999,0.277875,0.028517165,40.916374737,46.036374737,0.042255089,13.625895885,15.235895885
"9","bgl_09",0.140634439,0.179063187,14.79,15.57,11.27825,11.22536364,11.53,11.63,0.46267814,0.490894525,44.85,46.85,-25.27339842,-24.5698405,-24.98,-24.94,0.703557919999998,0.293398419999999,0.333398419999998,-0.0528863600000005,0.251749999999999,0.351750000000001,0.028216385,44.38732186,46.38732186,0.038428748,14.649365561,15.429365561
"10","bgl_10",0.141333068,0.162475378,13.63,15.28,11.404875,11.25636364,11.45,11.84,0.46305753,0.42140336,40.99,50.2,-23.97195527,-23.38926671,-23.51,-24.1,0.582688559999998,0.461955269999997,-0.128044730000003,-0.148511360000001,0.0451249999999987,0.435124999999999,-0.04165417,40.52694247,49.73694247,0.02114231,13.488666932,15.138666932
"11","bgl_11",0.133085344,0.166052858,15.11,15.86,10.95825,10.47436364,11.01,11.33,0.460071428,0.443453883,45.4,47.72,-21.37784267,-20.83390141,-21.36,-21.19,0.54394126,0.0178426700000003,0.187842669999998,-0.48388636,0.0517500000000002,0.37175,-0.016617545,44.939928572,47.259928572,0.032967514,14.976914656,15.726914656
"12","bgl_12",0.140952523,0.184496072,14.29,15.86,11.154875,11.15636364,11.17,11.46,0.460269425,0.495833887,42.44,47.45,-23.36685896,-22.54552077,-22.82,-23.4,0.821338189999999,0.546858959999998,-0.0331410400000003,0.00148863999999982,0.0151249999999994,0.305125,0.035564462,41.979730575,46.989730575,0.043543549,14.149047477,15.719047477
"13","bgl_13",0.133174902,0.170558644,14.77,14.63,13.19925,12.94336364,13.3,13.64,0.43904613,0.451739274,44.53,44.03,-30.96601823,-29.71706719,-30.43,-30.18,1.24895104,0.53601823,0.78601823,-0.25588636,0.100750000000001,0.440750000000001,0.012693144,44.09095387,43.59095387,0.037383742,14.636825098,14.496825098
"14","bgl_14",0.139029354,0.172357212,12.63,15.75,12.939875,12.73236364,12.85,12.84,0.449719748,0.447792994,37.98,46.96,-30.37528155,-29.62838519,-29.99,-30.26,0.746896360000001,0.385281550000002,0.115281549999999,-0.20751136,-0.089875000000001,-0.0998750000000008,-0.00192675399999997,37.530280252,46.510280252,0.033327858,12.490970646,15.610970646
"15","bgl_15",0.134289714,0.167557873,15.22,13.85,12.78625,12.58936364,12.99,13.18,0.461585758,0.453023135,46.5,41.38,-30.92026135,-29.75674627,-30.32,-30.23,1.16351508,0.60026135,0.69026135,-0.196886360000001,0.203749999999999,0.393749999999999,-0.00856262299999999,46.038414242,40.918414242,0.033268159,15.085710286,13.715710286
"16","bgl_16",0.141452814,0.182290913,15.45,15.69,12.934875,12.95636364,13.3,13.17,0.461656805,0.481627269,46.84,47.26,-30.23636212,-29.70455731,-30.39,-30.35,0.531804810000001,-0.153637880000002,-0.113637880000002,0.0214886399999994,0.365125000000001,0.235125,0.019970464,46.378343195,46.798343195,0.040838099,15.308547186,15.548547186
"17","bgl_17",0.13625294,0.170759809,13.82,12.06,12.755375,12.71536364,12.8,13.24,0.448335023,0.447337239,41.61,35.91,-29.629334,-28.50529879,-29.02,-28.69,1.12403521,0.609334,0.939333999999999,-0.0400113600000012,0.0446249999999999,0.484624999999999,-0.000997784000000002,41.161664977,35.461664977,0.034506869,13.68374706,11.92374706
"18","bgl_18",0.138030922,0.169254642,14.03,15.62,12.80325,12.49036364,12.7,13.16,0.462243644,0.450947426,41.81,47.05,-29.95564824,-28.83584866,-29.25,-29.11,1.11979958,0.705648239999999,0.845648239999999,-0.31288636,-0.103250000000001,0.35675,-0.011296218,41.347756356,46.587756356,0.03122372,13.891969078,15.481969078
