"","ID","per.N.time.0","per.N.time.3","per.N.time.6","per.N.time.9","d15N.time.0","d15N.time.3","d15N.time.6","d15N.time.9","per.C.time.0","per.C.time.3","per.C.time.6","per.C.time.9","d13C.time.0","d13C.time.3","d13C.time.6","d13C.time.9","d13C.3m.corr","d13C.6m.corr","d13C.9m.corr","d15N.3m.corr","d15N.6m.corr","d15N.9m.corr","perC.3m.corr","perC.6m.corr","perC.9m.corr","perN.3m.corr","perN.6m.corr","perN.9m.corr"
"1","lmb_01",0.135558237,0.14509835,12.97,15.65,14.46509091,14.56254545,15.02,14.9,0.437769874,0.449288169,38.8,50.5,-27.53588284,-26.02050637,-25.93,-27.41,1.51537647,1.60588284,0.125882839999999,0.0974545399999993,0.554909089999999,0.43490909,0.011518295,38.362230126,50.062230126,0.00954011299999999,12.834441763,15.514441763
"2","lmb_02",0.137709772,0.139331694,14.71,15.71,14.46825,14.48554545,14.67,14.85,0.471587709,0.454583223,45.28,50.2,-30.54825212,-30.55142552,-29.86,-30.58,-0.00317339999999788,0.688252120000001,-0.0317478799999975,0.0172954500000007,0.201750000000001,0.38175,-0.017004486,44.808412291,49.728412291,0.001621922,14.572290228,15.572290228
"3","lmb_03",0.140326312,0.14387257,14.7,15.82,14.598875,14.79754545,14.92,15.08,0.463708218,0.45437657,45.21,50.14,-29.44436147,-29.33103319,-28.9,-29.73,0.113328280000001,0.544361470000002,-0.28563853,0.19867045,0.321125,0.481125,-0.00933164800000003,44.746291782,49.676291782,0.003546258,14.559673688,15.679673688
"4","lmb_04",0.138852643,0.138910666,14.75,13.57,14.729875,15.07254545,15.23,15.12,0.475306227,0.448947894,45.48,43.69,-30.28018087,-30.41662815,-29.86,-30.27,-0.136447280000002,0.420180869999999,0.0101808699999992,0.34267045,0.500125000000001,0.390124999999999,-0.026358333,45.004693773,43.214693773,5.80229999999904e-05,14.611147357,13.431147357
"5","lmb_05",0.138159759,0.14188695,15.35,15.94,14.552875,14.63254545,14.82,14.87,0.458408702,0.443785818,46.88,49.54,-30.34107396,-30.15203328,-29.78,-30.37,0.189040679999998,0.561073959999998,-0.0289260400000018,0.0796704500000001,0.267125,0.317124999999999,-0.014622884,46.421591298,49.081591298,0.00372719100000002,15.211840241,15.801840241
"6","lmb_06",0.150785756,0.134037649,15.17,15.29,14.357125,14.82254545,14.68,14.85,0.486426994,0.430462564,46.41,48.09,-30.16180839,-30.37181338,-29.87,-30.27,-0.210004989999998,0.29180839,-0.108191609999999,0.46542045,0.322875,0.492875,-0.05596443,45.923573006,47.603573006,-0.016748107,15.019214244,15.139214244
"7","lmb_07",0.138235289,0.141371517,14.58,14.27,14.679375,15.14454545,14.9,14.86,0.456250544,0.452481683,44.93,44.65,-31.08683733,-31.4038233,-30.97,-31.14,-0.316985969999998,0.116837330000003,-0.053162669999999,0.46517045,0.220625,0.180624999999999,-0.00376886099999996,44.473749456,44.193749456,0.00313622799999999,14.441764711,14.131764711
"8","lmb_08",0.132571333,0.146463528,14.87,14.87,14.68725,14.61454545,15.01,15.06,0.461137236,0.459760607,45.73,47.09,-30.47380317,-30.20912393,-29.83,-30.04,0.26467924,0.643803170000002,0.433803170000001,-0.072704550000001,0.322749999999999,0.37275,-0.00137662900000002,45.268862764,46.628862764,0.013892195,14.737428667,14.737428667
"9","lmb_09",0.137609593,0.139068974,14.34,15.48,14.495375,14.58254545,14.82,14.85,0.460194726,0.454693948,43.99,48.37,-30.90816293,-31.46712667,-30.68,-31.12,-0.558963739999999,0.22816293,-0.211837070000001,0.0871704500000003,0.324625000000001,0.354625,-0.00550077799999998,43.529805274,47.909805274,0.00145938100000001,14.202390407,15.342390407
"10","lmb_10",0.127048161,0.145986179,15.14,15.46,14.604375,14.82054545,15.03,14.88,0.423747475,0.455783671,46.54,48.47,-32.14495166,-32.17407129,-31.64,-31.99,-0.0291196300000038,0.504951659999996,0.154951659999998,0.21617045,0.425625,0.275625000000002,0.032036196,46.116252525,48.046252525,0.018938018,15.012951839,15.332951839
