"","ID","per.N.time.0","per.N.time.3","per.N.time.6","per.N.time.9","d15N.time.0","d15N.time.3","d15N.time.6","d15N.time.9","per.C.time.0","per.C.time.3","per.C.time.6","per.C.time.9","d13C.time.0","d13C.time.3","d13C.time.6","d13C.time.9","d13C.3m.corr","d13C.6m.corr","d13C.9m.corr","d15N.3m.corr","d15N.6m.corr","d15N.9m.corr","perC.3m.corr","perC.6m.corr","perC.9m.corr","perN.3m.corr","perN.6m.corr","perN.9m.corr"
"1","nerka_01",0.134678354,0.175045936,13.45,13.57,12.6211,13.08172727,13.52,13.07,0.544063992,0.484617819,43.72,41.81,-30.79106347,-29.8611661,-29.89,-29.55,0.929897370000003,0.90106347,1.24106347,0.46062727,0.898899999999999,0.4489,-0.059446173,43.175936008,41.265936008,0.040367582,13.315321646,13.435321646
"2","nerka_02",0.12156885,0.162766668,15.05,14.8,15.0951,15.23472727,15.53,15.52,0.622115989,0.474388524,48.24,46.71,-31.67653505,-29.89227935,-29.54,-29.02,1.7842557,2.13653505,2.65653505,0.13962727,0.434899999999999,0.424899999999999,-0.147727465,47.617884011,46.087884011,0.041197818,14.92843115,14.67843115
"3","nerka_03",0.150988258,0.155840413,15.91,14.87,11.4941,11.50272727,11.81,11.84,0.55158369,0.440605539,49.41,45.65,-22.20869704,-21.60149553,-21.39,-21.24,0.60720151,0.81869704,0.968697040000002,0.00862726999999985,0.315900000000001,0.3459,-0.110978151,48.85841631,45.09841631,0.00485215500000002,15.759011742,14.719011742
"4","nerka_04",0.119533933,0.159342071,14.63,15.18,10.9731,11.37872727,11.4,11.11,0.620538068,0.495558191,45.93,46.99,-23.85610051,-22.09338117,-21.4,-21.25,1.76271934,2.45610051,2.60610051,0.40562727,0.4269,0.136899999999999,-0.124979877,45.309461932,46.369461932,0.039808138,14.510466067,15.060466067
"5","nerka_05",0.152933414,0.178909613,15.61,15.15,14.3121,14.63772727,14.73,15.11,0.568178038,0.491640155,48.07,46.4,-28.92093592,-28.13723559,-28.15,-27.98,0.783700330000002,0.770935920000003,0.940935920000001,0.32562727,0.417900000000001,0.7979,-0.076537883,47.501821962,45.831821962,0.025976199,15.457066586,14.997066586
"6","nerka_06",0.10703916,0.167575229,14.72,15.71,12.3521,13.08772727,13.19,12.68,0.388430622,0.484909839,45.02,47.77,-22.0120589,-20.99185855,-20.72,-20.7,1.02020035,1.2920589,1.3120589,0.73562727,0.837899999999999,0.3279,0.096479217,44.631569378,47.381569378,0.060536069,14.61296084,15.60296084
"7","nerka_07",0.155928517,0.171482522,15.22,14.38,11.8491,11.46172727,11.46,12,0.556209964,0.47341478,47.25,43.73,-22.5044402,-21.54885135,-21.55,-21.87,0.955588850000002,0.9544402,0.6344402,-0.387372729999999,-0.389099999999999,0.1509,-0.082795184,46.693790036,43.173790036,0.015554005,15.064071483,14.224071483
"8","nerka_08",0.150175242,0.149077691,14.63,15.32,11.6941,11.96072727,12.48,12.55,0.538719792,0.433819793,45.27,47.63,-22.54312922,-21.74716348,-21.64,-21.8,0.79596574,0.90312922,0.74312922,0.266627269999999,0.7859,0.8559,-0.104899999,44.731280208,47.091280208,-0.00109755099999997,14.479824758,15.169824758
"9","nerka_09",0.147213514,0.161799907,15.8,15.71,11.3591,11.69972727,12.01,11.85,0.521100474,0.453141745,48.32,47.91,-22.0490228,-20.95039315,-21.01,-21,1.09862965,1.0390228,1.0490228,0.340627270000001,0.6509,0.4909,-0.067958729,47.798899526,47.388899526,0.014586393,15.652786486,15.562786486
"10","nerka_10",0.130263342,0.131124725,15.63,15.58,12.3491,11.49272727,11.99,11.86,0.489093158,0.376484536,48.07,47.6,-22.33827919,-20.58678746,-21.19,-21.42,1.75149173,1.14827919,0.91827919,-0.85637273,-0.3591,-0.489100000000001,-0.112608622,47.580906842,47.110906842,0.000861382999999993,15.499736658,15.449736658
"11","nerka_11",0.148501719,0.138284938,15.18,15.39,11.3821,11.52572727,11.91,11.7,0.551576089,0.410728231,47.06,47.14,-22.3812168,-21.16914815,-21.11,-21.17,1.21206865,1.2712168,1.2112168,0.143627270000001,0.527900000000001,0.3179,-0.140847858,46.508423911,46.588423911,-0.010216781,15.031498281,15.241498281
"12","nerka_12",0.13387107,0.173359129,15.69,15.52,11.8571,12.14172727,12.06,12.14,0.475163076,0.487339451,47.93,47.43,-22.38378037,-21.26618192,-21.31,-21.37,1.11759845,1.07378037,1.01378037,0.28462727,0.2029,0.2829,0.012176375,47.454836924,46.954836924,0.039488059,15.55612893,15.38612893
"13","nerka_13",0.124503196,0.165130599,15.74,14.82,12.4391,11.80472727,12.37,11.92,0.50003736,0.479290232,48.94,45.63,-22.70335296,-21.31311935,-21.29,-21.35,1.39023361,1.41335296,1.35335296,-0.634372729999999,-0.0691000000000006,-0.5191,-0.020747128,48.43996264,45.12996264,0.040627403,15.615496804,14.695496804
"14","nerka_14",0.138804212,0.17276425,15.56,15.37,11.5651,12.03372727,12.16,11.9,0.519548048,0.48900302,48.31,47.67,-22.03967289,-20.67202803,-20.62,-20.99,1.36764486,1.41967289,1.04967289,0.468627270000001,0.594900000000001,0.334900000000001,-0.030545028,47.790451952,47.150451952,0.033960038,15.421195788,15.231195788
"15","nerka_15",0.14416128,0.127732993,14.54,15.24,15.3531,16.71972727,16.74,15.79,0.557166862,0.406493415,47.72,48.34,-30.20042546,-29.64109296,-29.75,-29.32,0.5593325,0.450425460000002,0.880425460000001,1.36662727,1.3869,0.4369,-0.150673447,47.162833138,47.782833138,-0.016428287,14.39583872,15.09583872
"16","nerka_16",0.156417599,0.153777228,8.82,13.79,11.8221,11.72172727,11.88,11.65,0.549711509,0.453103214,27.81,42.08,-22.10072636,-21.62971296,-21.29,-21.21,0.4710134,0.81072636,0.890726359999999,-0.10037273,0.0579000000000001,-0.1721,-0.096608295,27.260288491,41.530288491,-0.002640371,8.663582401,13.633582401
"17","nerka_17",0.144002597,0.156273824,15.58,15.15,11.8231,12.44572727,12.19,12.15,0.579517875,0.485084945,48.34,46.1,-22.27755487,-21.6316943,-20.81,-20.86,0.64586057,1.46755487,1.41755487,0.622627270000001,0.366899999999999,0.3269,-0.09443293,47.760482125,45.520482125,0.012271227,15.435997403,15.005997403
"18","nerka_18",0.153759359,0.158628721,15.12,15.32,11.2401,12.32272727,11.79,11.79,0.528935291,0.470341785,46.62,46.9,-21.44300158,-21.36363403,-20.71,-20.92,0.0793675500000006,0.73300158,0.523001579999999,1.08262727,0.549899999999999,0.549899999999999,-0.058593506,46.091064709,46.371064709,0.00486936199999999,14.966240641,15.166240641
