"","ID","per.N.time.0","per.N.time.3","per.N.time.6","per.N.time.9","d15N.time.0","d15N.time.3","d15N.time.6","d15N.time.9","per.C.time.0","per.C.time.3","per.C.time.6","per.C.time.9","d13C.time.0","d13C.time.3","d13C.time.6","d13C.time.9","d13C.3m.corr","d13C.6m.corr","d13C.9m.corr","d15N.3m.corr","d15N.6m.corr","d15N.9m.corr","perC.3m.corr","perC.6m.corr","perC.9m.corr","perN.3m.corr","perN.6m.corr","perN.9m.corr"
"1","pks_01",0.141559325,0.150457852,14.77,15.58,11.32172727,11.85563636,11.62,11.81,0.455335871,0.458401986,45.26,47.31,-24.16253469,-23.83147075,-24.15,-24.03,0.33106394,0.0125346900000025,0.13253469,0.53390909,0.298272729999999,0.48827273,0.00306611499999998,44.804664129,46.854664129,0.00889852699999999,14.628440675,15.438440675
"2","pks_02",0.12816843,0.152796077,15.53,14.14,11.21172727,11.73763636,11.24,11.71,0.419235778,0.462760062,45.17,42.75,-23.23543553,-22.85591874,-23.14,-23.03,0.37951679,0.0954355299999996,0.205435529999999,0.525909089999999,0.0282727299999994,0.49827273,0.043524284,44.750764222,42.330764222,0.024627647,15.40183157,14.01183157
"3","pks_03",0.136471078,0.145428037,11.97,15.42,10.91372727,11.01863636,10.99,11.61,0.455436202,0.445034394,36.2,46.54,-22.50966964,-22.21544144,-22.3,-22.33,0.294228199999999,0.209669639999998,0.17966964,0.10490909,0.0762727299999995,0.696272729999999,-0.010401808,35.744563798,46.084563798,0.00895695900000001,11.833528922,15.283528922
"4","pks_04",0.140234693,0.143620343,12.5,15.49,11.19009091,11.46563636,10.55,11.4,0.452493121,0.43042036,36.67,46.57,-24.91646334,-24.60645241,-24.45,-24.55,0.310010930000001,0.466463340000001,0.366463339999999,0.275545449999999,-0.64009091,0.20990909,-0.022072761,36.217506879,46.117506879,0.00338565000000002,12.359765307,15.349765307
"5","pks_05",0.127877232,0.145941383,14.83,15.77,11.17372727,11.52663636,11.36,11.79,0.446357193,0.441727102,44.72,47.47,-22.6475179,-22.10358051,-22.09,-22.15,0.54393739,0.557517900000001,0.497517900000002,0.352909089999999,0.186272729999999,0.616272729999999,-0.004630091,44.273642807,47.023642807,0.018064151,14.702122768,15.642122768
"6","pks_06",0.136471963,0.145290394,14.69,15.99,10.83136364,11.50663636,11.2,11.46,0.451038705,0.448855073,44.45,47.79,-24.79554613,-24.73247647,-24.56,-24.65,0.06306966,0.235546130000003,0.145546130000003,0.675272720000001,0.36863636,0.628636360000002,-0.00218363199999999,43.998961295,47.338961295,0.00881843099999999,14.553528037,15.853528037
"7","pks_07",0.134116065,0.144194765,11.1,15.8,11.42745455,11.86563636,11.91,12.01,0.455123072,0.439084007,33.09,47.58,-24.03908727,-24.73797293,-24.85,-24.93,-0.698885660000002,-0.810912730000002,-0.89091273,0.43818181,0.48254545,0.58254545,-0.016039065,32.634876928,47.124876928,0.0100787,10.965883935,15.665883935
"8","pks_08",0.136645738,0.144002203,15.13,15.65,11.18736364,11.80663636,11.84,12.05,0.439485114,0.443768882,45.24,47.15,-22.87739117,-25.75816945,-25.83,-25.79,-2.88077828,-2.95260883,-2.91260883,0.619272720000001,0.652636360000001,0.862636360000002,0.00428376799999997,44.800514886,46.710514886,0.00735646500000001,14.993354262,15.513354262
"9","pks_09",0.137308469,0.140572302,15.14,15.43,11.47009091,11.54463636,12,11.99,0.438958473,0.425986831,45.6,46.42,-21.49314241,-23.6321393,-23.46,-23.65,-2.13899689,-1.96685759,-2.15685759,0.0745454500000005,0.52990909,0.51990909,-0.012971642,45.161041527,45.981041527,0.00326383300000002,15.002691531,15.292691531
"10","pks_10",0.139487113,0.149319832,11.82,12.5,11.60372727,11.42063636,11.96,11.92,0.455227594,0.448655827,35.94,37.9,-23.69866892,-21.48109444,-21.25,-21.23,2.21757448,2.44866892,2.46866892,-0.183090910000001,0.356272730000001,0.31627273,-0.00657176700000001,35.484772406,37.444772406,0.00983271900000002,11.680512887,12.360512887
