"","ID","per.N.time.0","per.N.time.3","per.N.time.6","per.N.time.9","d15N.time.0","d15N.time.3","d15N.time.6","d15N.time.9","per.C.time.0","per.C.time.3","per.C.time.6","per.C.time.9","d13C.time.0","d13C.time.3","d13C.time.6","d13C.time.9","d13C.3m.corr","d13C.6m.corr","d13C.9m.corr","d15N.3m.corr","d15N.6m.corr","d15N.9m.corr","perC.3m.corr","perC.6m.corr","perC.9m.corr","perN.3m.corr","perN.6m.corr","perN.9m.corr"
"1","rbt_01",0.125772659,0.1300818,11.3,14.92,14.06025,14.06736364,14.09,14.25,0.48353952,0.500847557,52.48,49.82,-38.47127026,-37.93732207,-39.98,-37.13,0.533948189999997,-1.50872974,1.34127025999999,0.00711364000000003,0.0297499999999999,0.18975,0.0173080370000001,51.99646048,49.33646048,0.00430914099999999,11.174227341,14.794227341
"2","rbt_02",0.112130211,0.1596107,12.43,11.44,16.58309091,15.33936364,15.41,15.56,0.503932966,0.530091582,43.12,54.44,-36.66138811,-35.01078093,-35.11,-37.23,1.65060717999999,1.55138811,-0.56861189,-1.24372727,-1.17309091,-1.02309091,0.0261586159999999,42.616067034,53.936067034,0.047480489,12.317869789,11.327869789
"3","rbt_05",0.135344441,0.1395871,10.32,15.25,9.8662,9.791818182,10.4,10.59,0.460188989,0.411873453,32.97,46.89,-20.40113591,-22.64804337,-20.72,-21.11,-2.24690746,-0.318864089999998,-0.708864089999999,-0.0743818179999991,0.533800000000001,0.723800000000001,-0.048315536,32.509811011,46.429811011,0.00424265899999998,10.184655559,15.114655559
"4","rbt_06",0.14132149,0.1370469,13.1,13.26,10.0422,9.452818182,10.15,10.66,0.461930641,0.422464542,50.24,52.48,-20.55550979,-21.4813056,-21.21,-21.23,-0.92579581,-0.654490210000002,-0.674490210000002,-0.589381818,0.107800000000001,0.617800000000001,-0.039466099,49.778069359,52.018069359,-0.00427459,12.95867851,13.11867851
"5","rbt_07",0.138038147,0.1564733,11.97,15.87,12.0382,11.10581818,12.42,12.44,0.444301109,0.400379838,35.36,47.08,-30.35040415,-29.66160554,-30.33,-30.01,0.688798609999999,0.020404150000001,0.340404149999998,-0.93238182,0.3818,0.4018,-0.043921271,34.915698891,46.635698891,0.018435153,11.831961853,15.731961853
"6","rbt_08",0.127478313,0.1474633,14.41,15.26,9.9272,9.743818182,10.91,11.06,0.463444557,0.370904403,45.7,46.75,-20.56743412,-25.51491629,-25.65,-25.48,-4.94748217,-5.08256588,-4.91256588,-0.183381817999999,0.982800000000001,1.1328,-0.092540154,45.236555443,46.286555443,0.019984987,14.282521687,15.132521687
"7","rbt_09",0.136734862,0.155167,11.26,14.9,9.9522,9.292818182,10.27,10.38,0.463219131,0.437075839,46.53,47.33,-20.11403751,-20.50718628,-21.29,-19.59,-0.39314877,-1.17596249,0.524037509999999,-0.659381818,0.3178,0.427800000000001,-0.026143292,46.066780869,46.866780869,0.018432138,11.123265138,14.763265138
"8","rbt_10",0.143285897,0.1597259,10.06,15.19,10.4082,9.507818182,10.8,10.78,0.460308404,0.406010732,31.34,48.89,-23.01532856,-22.30557132,-22.56,-22.67,0.709757240000002,0.455328560000002,0.345328559999999,-0.900381818000001,0.3918,0.371799999999999,-0.054297672,30.879691596,48.429691596,0.016440003,9.916714103,15.046714103
"9","rbt_11",0.122145844,0.1351902,13.57,13.66,9.9252,9.249818182,10.19,10.25,0.475148856,0.444455575,47.92,52.11,-20.29985555,-20.15625649,-19.81,-20.04,0.14359906,0.489855550000001,0.259855550000001,-0.675381818,0.264799999999999,0.3248,-0.030693281,47.444851144,51.634851144,0.013044356,13.447854156,13.537854156
"10","rbt_12",0.129239491,0.1333138,14.59,14.45,11.60725,10.75781818,11.92,12.23,0.438885622,0.421169033,44.63,49.99,-31.73983321,-32.44985979,-31.04,-32.47,-0.710026579999997,0.699833210000001,-0.730166789999998,-0.849431820000001,0.312749999999999,0.62275,-0.017716589,44.191114378,49.551114378,0.004074309,14.460760509,14.320760509
"11","rbt_13",0.109210987,0.1186537,12.2,13.25,14.56916583,13.24381818,14.6,14.93,0.512115333,0.465708334,52.75,49.96,-42.17354752,-38.74115586,-39.27,-38.55,3.43239166,2.90354752,3.62354752,-1.32534765,0.0308341700000003,0.36083417,-0.046406999,52.237884667,49.447884667,0.009442713,12.090789013,13.140789013
"12","rbt_14",0.121356796,0.1095516,13.71,12.54,14.69525,14.02881818,15.06,15.13,0.500641251,0.470256173,52.13,52.51,-38.95233298,-39.3401924,-38.67,-39.74,-0.387859419999998,0.28233298,-0.787667020000001,-0.66643182,0.364750000000001,0.434750000000001,-0.030385078,51.629358749,52.009358749,-0.011805196,13.588643204,12.418643204
"13","rbt_15",0.114214834,0.1324935,10.77,11.7,8.585875,8.035818182,8.58,9.06,0.521513274,0.439341409,49.43,55.08,-22.34016556,-23.28278673,-21.82,-21.97,-0.942621170000002,0.520165559999999,0.37016556,-0.550056818,-0.00587499999999963,0.474125000000001,-0.082171865,48.908486726,54.558486726,0.018278666,10.655785166,11.585785166
"14","rbt_16",0.111793466,0.1159242,11.83,12.58,8.15025,7.432818182,8.58,8.86,0.49531683,0.461822511,37.31,49.6,-21.97091404,-23.08580351,-21.52,-21.38,-1.11488947,0.450914040000001,0.590914040000001,-0.717431818,0.42975,0.70975,-0.033494319,36.81468317,49.10468317,0.00413073400000001,11.718206534,12.468206534
"15","rbt_17",0.121441135,0.1329432,12.97,14.6,8.050875,7.325818182,8.29,8.35,0.503486137,0.486443196,50.5,48.29,-22.02925912,-23.21960439,-21.74,-21.15,-1.19034527,0.289259120000001,0.87925912,-0.725056818,0.239125,0.299125,-0.017042941,49.996513863,47.786513863,0.011502065,12.848558865,14.478558865
"16","rbt_18",0.132191094,0.1263584,13.49,15.77,13.65809091,12.56781818,13.91,13.43,0.466185978,0.46777947,50.58,50.05,-30.81964211,-31.08911237,-31.29,-29.22,-0.269470259999999,-0.470357889999999,1.59964211,-1.09027273,0.25190909,-0.228090910000001,0.00159349199999997,50.113814022,49.583814022,-0.005832694,13.357808906,15.637808906
