"","Lab_ID","ID","time","Amt.N","Amt.C","sample.mass","d15N","d13C","per.N","per.C"
"1","BVR-YLP-09","yp_01",0,0.060761673,0.199793089,0.444,9.9072,-28.1576862,0.136850614,0.449984436
"2","BVR-YLP-09","yp_01",3,0.073848405,0.205611825,0.429,10.08972727,-28.10016321,0.172140804,0.479281644
"3","BVR-YLP-09","yp_01",6,NA,NA,0.453,10.44,-28.32,15,46.07
"4","BVR-YLP-09","yp_01",9,NA,NA,0.46,10.47,-28.19,15.61,47.81
"5","BVR-YLP-10","yp_02",0,0.061301882489486,0.20237594535603,0.455,9.97809090909091,-28.0303136437665,0.134729412064804,0.44478229748578
"6","BVR-YLP-10","yp_02",3,0.076307862,0.210681277,0.444,10.57172727,-27.83086119,0.171864555,0.474507381
"7","BVR-YLP-10","yp_02",6,NA,NA,0.443,10.22,-27.98,11.95,36.7
"8","BVR-YLP-10","yp_02",9,NA,NA,0.441,10.06,-27.75,15.43,47.06
"9","BVR-YLP-07","yp_04",0,0.0616963677084129,0.199694792066479,0.454,9.82136363636364,-27.4493420209632,0.135895083058178,0.439856370190482
"10","BVR-YLP-07","yp_04",3,0.076855258,0.211993795,0.445,10.23972727,-27.67660641,0.172708445,0.476390551
"11","BVR-YLP-07","yp_04",6,NA,NA,0.437,10.63,-27.38,15.25,47.03
"12","BVR-YLP-07","yp_04",9,NA,NA,0.438,10.25,-27.43,15.71,47.76
"13","BVR-YLP-06","yp_05",0,0.0613206761187686,0.203623642290398,0.45,11.0703636363636,-29.7120948915656,0.136268169152819,0.452496982867551
"14","BVR-YLP-06","yp_05",3,0.079344216,0.217149257,0.469,11.47372727,-29.77535359,0.169177433,0.463004813
"15","BVR-YLP-06","yp_05",6,NA,NA,0.46,11.22,-29.57,14.12,43.21
"16","BVR-YLP-06","yp_05",9,NA,NA,0.46,11.34,-29.53,10.58,32.13
"17","BVR-YLP-05","yp_06",0,0.0627826257452541,0.201471537245661,0.447,9.70872727272727,-28.1694963095569,0.140453301443522,0.450719322697227
"18","BVR-YLP-05","yp_06",3,0.078556447,0.215176179,0.468,10.34172727,-28.22752206,0.167855655,0.459778161
"19","BVR-YLP-05","yp_06",6,NA,NA,0.44,10.18,-28.08,15.17,46.89
"20","BVR-YLP-05","yp_06",9,NA,NA,0.449,10.33,-28.37,15.28,46.63
"21","BVR-YLP-12","yp_07",0,0.059588697,0.196977199,0.441,9.2532,-27.80696073,0.135121762,0.446660315
"22","BVR-YLP-12","yp_08",3,0.069682296,0.192006704,0.443,9.739727273,-27.82502097,0.157296379,0.43342371
"23","BVR-YLP-12","yp_09",6,NA,NA,0.442,11.59,-22.52,8.17,24.54
"24","BVR-YLP-12","yp_07",9,NA,NA,0.443,9.96,-27.69,15.61,47.34
"25","BVR-YLP-11","yp_08",0,0.0628513901470873,0.200660683642544,0.45,9.95009090909091,-29.9004181706709,0.139669755882416,0.445912630316764
"26","BVR-YLP-11","yp_08",3,0.071633691,0.196694269,0.438,10.33572727,-30.05208696,0.16354724,0.449073674
"27","BVR-YLP-11","yp_08",6,NA,NA,0.443,10.44,-29.83,13.82,41.57
"28","BVR-YLP-11","yp_08",9,NA,NA,0.46,10.36,-29.55,15.44,47.17
"29","PNE-YLP-09","yp_09",0,0.0664387948173998,0.224979792220141,0.474,11.477875,-22.8476487570705,0.140166233791983,0.474640911856837
"30","PNE-YLP-09","yp_09",3,0.065327914,0.205315666,0.458,11.47154545,-22.54147435,0.142637366,0.44828748
"31","PNE-YLP-09","yp_09",6,NA,NA,0.442,11.59,-22.52,8.17,24.54
"32","PNE-YLP-09","yp_09",9,NA,NA,0.457,11.71,-22.79,15.4,46.81
"33","PNE-YLP-06","yp_10",0,0.0648165331915265,0.207908917276056,0.456,10.850875,-24.0743747304196,0.142141520156856,0.455940608061527
"34","PNE-YLP-06","yp_10",3,0.065633757,0.204461076,0.471,11.08954545,-23.58242491,0.139349802,0.434099949
"35","PNE-YLP-06","yp_10",6,NA,NA,0.443,11.11,-23.74,15,45.33
"36","PNE-YLP-06","yp_10",9,NA,NA,0.437,11.09,-23.9,15.25,46.16
"37","PNE-YLP-03","yp_11",0,0.0607436652089997,0.197372155900101,0.468,10.75525,-26.1016519613844,0.129794156429487,0.421735375854916
"38","PNE-YLP-03","yp_11",3,0.066726445,0.210250585,0.465,11.41754545,-25.74679118,0.143497731,0.452151796
"39","PNE-YLP-03","yp_11",6,NA,NA,0.453,11.34,-25.79,15.04,45.05
"40","PNE-YLP-03","yp_11",9,NA,NA,0.453,11.67,-25.71,12.48,37.35
"41","PNE-YLP-04","yp_12",0,0.0641189471430604,0.210234895919596,0.457,11.203375,-25.9661317814809,0.140304041888535,0.460032595010056
"42","PNE-YLP-04","yp_12",3,0.058107414,0.184089273,0.42,11.54654545,-25.06205984,0.138350986,0.438307793
"43","PNE-YLP-04","yp_12",6,NA,NA,0.46,11.8,-25.4,15.32,46.51
"44","PNE-YLP-04","yp_12",9,NA,NA,0.457,10.87,-25.11,14.78,44.16
"45","PNE-YLP-08","yp_13",0,0.0632782289154841,0.205214732383408,0.447,11.105875,-25.29716218091,0.141562033367973,0.459093361036706
"46","PNE-YLP-08","yp_13",3,0.07228978,0.224431357,0.485,11.24054545,-25.31879339,0.149051094,0.462745065
"47","PNE-YLP-08","yp_13",6,NA,NA,0.455,11.41,-25.37,15.42,46.42
"48","PNE-YLP-08","yp_13",9,NA,NA,0.445,11.55,-25.24,15.78,47.75
