"","y.var","group1","group2","n1","n2","statistic","df","p","p.adj","p.adj.signif","mod.name"
"1","diff","3m","6m",16,16,-8.67970016819696,15,3.11e-07,9.33e-07,"****","rbt.d15N"
"2","diff","3m","9m",16,16,-10.4311401063526,15,2.86e-08,8.58e-08,"****","rbt.d15N"
"3","diff","6m","9m",16,16,-2.60595049309107,15,0.02,0.06,"ns","rbt.d15N"
"4","diff","3m","6m",18,18,-6.27751411229375,17,8.34e-06,2.5e-05,"****","lmb.d13C"
"5","diff","3m","9m",18,18,1.24317705948878,17,0.231,0.693,"ns","lmb.d13C"
"6","diff","6m","9m",18,18,6.44099364166375,17,6.09e-06,1.83e-05,"****","lmb.d13C"
"7","diff","3m","6m",18,18,11.8079474489865,17,1.29e-09,3.87e-09,"****","bgl.d13C"
"8","diff","3m","9m",18,18,4.50242400243743,17,0.000314,0.000942,"***","bgl.d13C"
"9","diff","6m","9m",18,18,0.749919611745497,17,0.464,1,"ns","bgl.d13C"
"10","diff","3m","6m",18,18,-6.9659789037142,17,2.28e-06,6.84e-06,"****","bgl.d15N"
"11","diff","3m","9m",18,18,-7.77950607422232,17,5.33e-07,1.6e-06,"****","bgl.d15N"
"12","diff","6m","9m",18,18,-4.13053873290245,17,0.000699,0.002,"**","bgl.d15N"
"13","diff","3m","6m",17,17,-0.987079902248987,16,0.338,1,"ns","bbh.d15N"
"14","diff","3m","9m",17,17,-6.99729451799582,16,3.01e-06,9.03e-06,"****","bbh.d15N"
"15","diff","6m","9m",17,17,-4.84679418738242,16,0.000178,0.000534,"***","bbh.d15N"
