"","Effect","DFn","DFd","F.stat","p.val","p.sig","ges","mod.name"
"1","month_fct",1.43,24.32,2.586,0.11,FALSE,0.023,"nerka.d13C"
"2","month_fct",2,34,2.437,0.103,FALSE,0.027,"nerka.d15N"
"3","month_fct",2,34,1.736,0.191,FALSE,0.033,"YP.d13C"
"4","month_fct",2,34,0.227,0.798,FALSE,0.006,"YP.d15N"
"5","month_fct",2,30,1.332,0.279,FALSE,0.013,"rbt.d13C"
"6","month_fct",1.46,21.92,80.369,6.81e-10,TRUE,0.559,"rbt.d15N"
"7","month_fct",1.01,17.13,1.134,0.302,FALSE,0.017,"pks.d13C"
"8","month_fct",1.21,20.54,2.245,0.146,FALSE,0.076,"pks.d15N"
"9","month_fct",2,34,21.486,9.28e-07,TRUE,0.249,"lmb.d13C"
"10","month_fct",2,34,2.226,0.123,FALSE,0.063,"lmb.d15N"
"11","month_fct",1.13,19.17,15.262,0.000669,TRUE,0.263,"bgl.d13C"
"12","month_fct",1.52,25.86,41.844,5.09e-08,TRUE,0.517,"bgl.d15N"
"13","month_fct",2,32,0.765,0.474,FALSE,0.003,"bbh.d13C"
"14","month_fct",2,32,18.639,4.29e-06,TRUE,0.079,"bbh.d15N"
